name,text,type,manaCost,convertedManaCost
"""Ach! Hans, Run!""","At the beginning of your upkeep, you may say ""Ach Hans, run It's the . . ."" and the name of a creature card. If you do, search your library for a card with that name, put it onto the battlefield, then shuffle your library. That creature gains haste. Exile it at the beginning of the next end step.",Enchantment,{2}{R}{R}{G}{G},6
"""Rumors of My Death . . .""","{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.",Enchantment,{2}{B},3
1996 World Champion,"Cannot be the target of spells or effects. World Champion has power and toughness equal to the life total of target opponent.
{0}: Discard your hand to search your library for 1996 World Champion and reveal it to all players. Shuffle your library and put 1996 World Champion on top of it. Use this ability only at the beginning of your upkeep, and only if 1996 World Champion is in your library.",Summon — Legend,{W}{U}{B}{R}{G},5
A Display of My Dark Power,"When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana of any type that land produced.",Scheme,,0
A Good Thing,"Spells and abilities you control can't destroy, exile, target, or cause you to sacrifice A Good Thing.
At the beginning of your upkeep, double your life total. Then, if you have 1,000 or more life, you lose the game.",Enchantment,{4}{W}{B},6
A Reckoning Approaches,"When you set this scheme in motion, look at the top six cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order.",Scheme,,0
AWOL,Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.,Instant,{2}{W},3
Abandon Hope,"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards.",Sorcery,{X}{1}{B},2
Abandon Reason,"Up to two target creatures each get +1/+0 and gain first strike until end of turn.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",Instant,{2}{R},3
Abandoned Outpost,"Abandoned Outpost enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Abandoned Outpost: Add one mana of any color.",Land,,0
Abandoned Sarcophagus,"You may cast nonland cards with cycling from your graveyard.
If a card with cycling would be put into your graveyard from anywhere and it wasn't cycled, exile it instead.",Artifact,{3},3
Abattoir Ghoul,"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.",Creature — Zombie,{3}{B},4
Abbey Gargoyles,"Flying, protection from red",Creature — Gargoyle,{2}{W}{W}{W},5
Abbey Griffin,"Flying, vigilance",Creature — Griffin,{3}{W},4
Abbey Matron,"{W}, {T}: Abbey Matron gets +0/+3 until end of turn.",Creature — Human Cleric,{2}{W},3
Abbot of Keral Keep,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.",Creature — Human Monk,{1}{R},2
Abduction,"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner's control.",Enchantment — Aura,{2}{U}{U},4
Aberrant Researcher,"Flying
At the beginning of your upkeep, put the top card of your library into your graveyard. If it's an instant or sorcery card, transform Aberrant Researcher.",Creature — Human Insect,{3}{U},4
